,zpid,latestPrice,numOfBathrooms,livingAreaSqFt,numOfBedrooms,avgSchoolRating,numOfStories,MedianStudentsPerTeacher,numOfHighSchools,longitude,numOfPrimarySchools,zipcode,propertyTaxRate,latest_saledate,latest_salemonth,latest_saleyear
116,2082177903,282226.0,2.0,1413.0,3,3.6666666666666665,1,12,1,-97.6934585571289,1,78744,1.98,2020-02-27,2,2020
117,63835425,180000.0,2.0,1326.0,3,2.6666666666666665,1,13,1,-97.5805206298828,1,78724,1.98,2018-10-31,10,2018
118,70341361,184900.0,2.0,1203.0,3,3.0,1,13,1,-97.58959197998048,1,78725,1.98,2019-08-13,8,2019
119,29358983,750000.0,4.0,2922.0,3,7.0,2,17,1,-97.79732513427734,1,78750,1.98,2020-09-11,9,2020
120,29374973,475000.0,3.0,2428.0,3,8.0,2,15,1,-97.82764434814452,1,78726,1.98,2020-11-30,11,2020
121,89550707,219000.0,2.0,1256.0,3,3.0,1,13,1,-97.63741302490234,1,78725,1.98,2019-09-06,9,2019
122,114405230,293300.0,3.0,3047.0,3,2.6666666666666665,2,14,1,-97.66323852539062,1,78660,1.98,2019-02-12,2,2019
123,29459909,229999.0,3.0,1712.0,3,3.0,2,13,1,-97.5844955444336,1,78725,1.98,2019-05-13,5,2019
124,29375972,415000.0,3.0,2234.0,3,8.666666666666666,1,16,1,-97.79473876953124,0,78750,1.98,2018-03-27,3,2018
125,29396983,175000.0,2.0,1315.0,3,3.6666666666666665,1,11,2,-97.64522552490234,1,78724,1.98,2018-12-11,12,2018
126,58299481,398900.0,2.0,2089.0,3,7.0,1,17,1,-97.78571319580078,1,78750,1.98,2020-12-07,12,2020
127,145656393,389900.0,3.0,3319.0,5,3.6666666666666665,2,12,1,-97.71949768066406,1,78744,1.98,2019-07-01,7,2019
128,116080940,536170.0,4.0,3415.0,5,7.666666666666668,2,14,1,-97.7947006225586,1,78717,2.21,2018-08-17,8,2018
129,29370850,665000.0,4.0,4137.0,5,7.0,2,16,1,-97.86055755615234,1,78726,1.98,2018-11-29,11,2018
130,29459907,179900.0,2.0,1587.0,4,3.0,1,13,1,-97.58484649658205,1,78725,1.98,2018-03-09,3,2018
131,29374967,519900.0,3.0,2766.0,4,8.0,2,15,1,-97.82756805419922,1,78726,1.98,2020-09-21,9,2020
132,2082038175,341054.0,3.0,2643.0,4,3.0,2,13,1,-97.63470458984376,1,78725,1.98,2019-12-31,12,2019
133,29358997,428000.0,3.0,2576.0,3,7.0,2,17,1,-97.7973175048828,1,78750,1.98,2019-10-31,10,2019
134,70341359,185000.0,2.0,1203.0,3,3.0,1,13,1,-97.58971405029295,1,78725,1.98,2018-12-07,12,2018
135,185217435,415000.0,4.0,3257.0,5,8.333333333333334,2,16,1,-97.7974853515625,1,78717,2.21,2018-08-09,8,2018
136,120898222,299900.0,3.0,2505.0,4,2.6666666666666665,2,14,1,-97.6619644165039,1,78660,1.98,2020-10-08,10,2020
137,83823977,249900.0,3.0,1659.0,3,3.6666666666666665,2,11,2,-97.6276397705078,1,78724,1.98,2018-06-07,6,2018
138,70352470,725000.0,4.0,3486.0,4,8.333333333333334,2,17,1,-97.91303253173828,1,78732,1.98,2019-05-17,5,2019
139,145551402,198000.0,3.0,1321.0,3,3.0,2,13,1,-97.57384490966795,1,78725,1.98,2019-12-03,12,2019
140,29355980,550000.0,2.0,2100.0,3,7.0,1,16,1,-97.80758666992188,1,78730,1.98,2018-01-25,1,2018
141,29465172,179900.0,2.0,1500.0,3,3.0,1,13,1,-97.62870025634766,1,78725,1.98,2018-06-15,6,2018
